C2;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;Samsung Electro-Mechanics;CL21F105ZOFNNNE;;;88;C;https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21F105ZOFNNNE_1uF-105-80-20-16V_C16834.html
C8;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;Samsung Electro-Mechanics;CL21F104ZBCNNNC;;;88;C;https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21F104ZBCNNNC_100nF-104-80-20-50V_C1760.html
C9;100uF;C-EUC1210K;C1210K;CAPACITOR, European symbol;C88154;Murata Electronics;GRM32ER60J107ME20L;;;;;https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_muRata_GRM32ER60J107ME20L_100uF-107-20-6-3V_C88154.html
C10;22uF;C-EUC0805;C0805;CAPACITOR, European symbol;C45783;Samsung Electro-Mechanics;CL21A226MAQNNNE;;;;;https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.html
C18;3.3nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;;88;C;
IC4;MB85RC04VPNF;24C04ASN;SO-08;Serial EEPROM;;;;unknown;unknown;0;;
LN6206;;MCP1700;SOT23;;;;LN6206P332MR-G;;;;;
RN1;10K;RN2_EU-4;CTS-744*083;Chip Resistor Array's from various manufactures;;;CRA064RJ10K0E04Z;;;;;
RN2;2.2K;RN2_EU-4;CTS-744*083;Chip Resistor Array's from various manufactures;;;CRA064RJ10K0E04Z;;;;;
U$2;JUSHUOAFC08-S18FCA-00;JUSHUOAFC08-S18FCA-00;JUSHUOAFC08-S18FCA-00;;;;AFC08-S18FCA-00;;;;;
